model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,compute_time_ms,weight_stream_time_ms,noc_total_latency_ms,act_spill_time_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,bottleneck,grid_dim,sram_mb_size,hbm_bandwidth_gb_s,bus_bandwidth_gb_s
LLaMA-3-70B,dense,65536,64.0,131.072,147.41230933333333,144.17919999999998,1.5837866666666667,1.0103466666666667,0.7973546666666667,123.0693823355068,93.8944872554831,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,1200.0,2400.0
DeepSeek-V3-MoE,moe,65536,64.0,131.072,675.3880746666667,669.0133333333334,3.925333333333333,2.1538133333333334,0.688128,93.48109867406285,71.32041829991367,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,1200.0,2400.0
LLaMA-3-70B,dense,65536,64.0,131.072,146.907136,144.17919999999998,1.5837866666666667,0.5051733333333334,0.7973546666666667,123.492584174427,94.21736463503035,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,1200.0,4800.0
DeepSeek-V3-MoE,moe,65536,64.0,131.072,674.3111680000001,669.0133333333334,3.925333333333333,1.0769066666666667,0.688128,93.63039238762838,71.43432036409637,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,1200.0,4800.0
LLaMA-3-70B,dense,65536,64.0,131.072,146.65454933333334,144.17919999999998,1.5837866666666667,0.2525866666666667,0.7973546666666667,123.70527842998519,94.37963747404875,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,1200.0,9600.0
DeepSeek-V3-MoE,moe,65536,64.0,131.072,673.7727146666667,669.0133333333334,3.925333333333333,0.5384533333333333,0.688128,93.70521820913312,71.49140793543481,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,1200.0,9600.0
LLaMA-3-70B,dense,65536,64.0,131.072,146.30092799999997,144.17919999999998,0.7918933333333333,1.0103466666666667,0.39867733333333333,124.00428422644046,94.60776079287754,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,2400.0,2400.0
DeepSeek-V3-MoE,moe,65536,64.0,131.072,673.2776106666668,669.0133333333334,1.9626666666666666,2.1538133333333334,0.344064,93.77412563694774,71.54398013072796,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,2400.0,2400.0
LLaMA-3-70B,dense,65536,64.0,131.072,145.79575466666665,144.17919999999998,0.7918933333333333,0.5051733333333334,0.39867733333333333,124.43395145340125,94.93557087204074,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,2400.0,4800.0
DeepSeek-V3-MoE,moe,65536,64.0,131.072,672.2007040000001,669.0133333333334,1.9626666666666666,1.0769066666666667,0.344064,93.92435752521912,71.65859796540765,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,2400.0,4800.0
LLaMA-3-70B,dense,65536,64.0,131.072,145.54316799999998,144.17919999999998,0.7918933333333333,0.2525866666666667,0.39867733333333333,124.64990358258521,95.10032927138154,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,2400.0,9600.0
