model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,pipeline_stalls,bottleneck,grid_dim,sram_mb_size,hbm_bandwidth_gb_s,bus_bandwidth_gb_s
LLaMA-3-70B,dense,65536,64,131.072,158.947,114.138,87.0805,0.808957,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,64,1200,2400
DeepSeek-V3-MoE,moe,65536,64,131.072,65.2102,105.118,80.1987,0.85541,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,64,1200,2400
LLaMA-3-70B,dense,65536,64,131.072,158.442,114.502,87.3582,0.808957,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,64,1200,4800
DeepSeek-V3-MoE,moe,65536,64,131.072,64.1333,106.883,81.5454,0.85541,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,64,1200,4800
LLaMA-3-70B,dense,65536,64,131.072,158.189,114.685,87.4977,0.808957,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,64,1200,9600
DeepSeek-V3-MoE,moe,65536,64,131.072,63.5948,107.788,82.2358,0.85541,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,64,1200,9600
LLaMA-3-70B,dense,65536,64,131.072,157.836,114.942,87.6937,0.808957,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,64,2400,2400
DeepSeek-V3-MoE,moe,65536,64,131.072,63.0997,108.634,82.8811,0.85541,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,64,2400,2400
LLaMA-3-70B,dense,65536,64,131.072,157.331,115.311,87.9753,0.808957,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,64,2400,4800
DeepSeek-V3-MoE,moe,65536,64,131.072,62.0228,110.52,84.3201,0.85541,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,64,2400,4800
LLaMA-3-70B,dense,65536,64,131.072,157.078,115.496,88.1167,0.808957,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,64,2400,9600
DeepSeek-V3-MoE,moe,65536,64,131.072,61.4844,111.488,85.0586,0.85541,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,64,2400,9600
LLaMA-3-70B,dense,65536,64,131.072,157.28,115.348,88.0035,0.808957,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,64,4800,2400
DeepSeek-V3-MoE,moe,65536,64,131.072,62.0445,110.481,84.2907,0.85541,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,64,4800,2400
LLaMA-3-70B,dense,65536,64,131.072,156.775,115.72,88.2871,0.808957,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,64,4800,4800
DeepSeek-V3-MoE,moe,65536,64,131.072,60.9676,112.433,85.7795,0.85541,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,64,4800,4800
LLaMA-3-70B,dense,65536,64,131.072,156.522,115.906,88.4296,0.808957,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,64,4800,9600
DeepSeek-V3-MoE,moe,65536,64,131.072,60.4291,113.435,86.5439,0.85541,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,64,4800,9600
LLaMA-3-70B,dense,65536,128,131.072,158.871,114.193,87.1224,0.797683,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,128,1200,2400
DeepSeek-V3-MoE,moe,65536,128,131.072,65.1337,105.241,80.2928,0.844136,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,128,1200,2400
LLaMA-3-70B,dense,65536,128,131.072,158.366,114.557,87.4004,0.797683,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,128,1200,4800
DeepSeek-V3-MoE,moe,65536,128,131.072,64.0568,107.011,81.6427,0.844136,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,128,1200,4800
LLaMA-3-70B,dense,65536,128,131.072,158.113,114.74,87.54,0.797683,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,128,1200,9600
DeepSeek-V3-MoE,moe,65536,128,131.072,63.5184,107.918,82.3348,0.844136,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,128,1200,9600
LLaMA-3-70B,dense,65536,128,131.072,157.798,114.97,87.7149,0.797683,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,128,2400,2400
DeepSeek-V3-MoE,moe,65536,128,131.072,63.0615,108.7,82.9313,0.844136,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,128,2400,2400
LLaMA-3-70B,dense,65536,128,131.072,157.292,115.339,87.9967,0.797683,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,128,2400,4800
DeepSeek-V3-MoE,moe,65536,128,131.072,61.9846,110.588,84.3721,0.844136,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,128,2400,4800
LLaMA-3-70B,dense,65536,128,131.072,157.04,115.524,88.1382,0.797683,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,128,2400,9600
DeepSeek-V3-MoE,moe,65536,128,131.072,61.4461,111.557,85.1115,0.844136,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,128,2400,9600
LLaMA-3-70B,dense,65536,128,131.072,157.261,115.362,88.0142,0.797683,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,128,4800,2400
DeepSeek-V3-MoE,moe,65536,128,131.072,62.0254,110.516,84.3166,0.844136,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,128,4800,2400
LLaMA-3-70B,dense,65536,128,131.072,156.756,115.734,88.2979,0.797683,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,128,4800,4800
DeepSeek-V3-MoE,moe,65536,128,131.072,60.9485,112.468,85.8065,0.844136,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,128,4800,4800
LLaMA-3-70B,dense,65536,128,131.072,156.503,115.921,88.4404,0.797683,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,128,4800,9600
DeepSeek-V3-MoE,moe,65536,128,131.072,60.41,113.471,86.5713,0.844136,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,128,4800,9600
LLaMA-3-70B,dense,65536,256,131.072,158.718,114.303,87.2064,0.775134,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,256,1200,2400
DeepSeek-V3-MoE,moe,65536,256,131.072,64.9808,105.489,80.4818,0.821587,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,256,1200,2400
LLaMA-3-70B,dense,65536,256,131.072,158.213,114.668,87.4848,0.775134,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,256,1200,4800
DeepSeek-V3-MoE,moe,65536,256,131.072,63.9039,107.267,81.8381,0.821587,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,256,1200,4800
LLaMA-3-70B,dense,65536,256,131.072,157.96,114.851,87.6247,0.775134,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,256,1200,9600
DeepSeek-V3-MoE,moe,65536,256,131.072,63.3655,108.178,82.5335,0.821587,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,256,1200,9600
LLaMA-3-70B,dense,65536,256,131.072,157.721,115.025,87.7575,0.775134,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,256,2400,2400
DeepSeek-V3-MoE,moe,65536,256,131.072,62.985,108.832,83.032,0.821587,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,256,2400,2400
LLaMA-3-70B,dense,65536,256,131.072,157.216,115.395,88.0395,0.775134,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,256,2400,4800
DeepSeek-V3-MoE,moe,65536,256,131.072,61.9081,110.725,84.4763,0.821587,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,256,2400,4800
LLaMA-3-70B,dense,65536,256,131.072,156.963,115.581,88.1811,0.775134,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,256,2400,9600
DeepSeek-V3-MoE,moe,65536,256,131.072,61.3697,111.696,85.2175,0.821587,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,256,2400,9600
LLaMA-3-70B,dense,65536,256,131.072,157.223,115.39,88.0356,0.775134,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,256,4800,2400
DeepSeek-V3-MoE,moe,65536,256,131.072,61.9872,110.584,84.3687,0.821587,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,256,4800,2400
LLaMA-3-70B,dense,65536,256,131.072,156.718,115.762,88.3194,0.775134,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,256,4800,4800
DeepSeek-V3-MoE,moe,65536,256,131.072,60.9103,112.539,85.8603,0.821587,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,256,4800,4800
LLaMA-3-70B,dense,65536,256,131.072,156.465,115.949,88.462,0.775134,Yes,17302016,Compute Pipeline Bound (Balanced Design),256x256,256,4800,9600
DeepSeek-V3-MoE,moe,65536,256,131.072,60.3718,113.543,86.6261,0.821587,Yes,6537728,Compute Pipeline Bound (Balanced Design),256x256,256,4800,9600
LLaMA-3-70B,dense,262144,64,524.288,42.1625,430.286,82.0705,0.808957,Yes,4326400,Compute Pipeline Bound (Balanced Design),512x512,64,1200,2400
DeepSeek-V3-MoE,moe,262144,64,524.288,21.0845,325.109,62.0097,0.85541,Yes,1635328,Compute Pipeline Bound (Balanced Design),512x512,64,1200,2400
LLaMA-3-70B,dense,262144,64,524.288,41.6573,435.504,83.0658,0.808957,Yes,4326400,Compute Pipeline Bound (Balanced Design),512x512,64,1200,4800
DeepSeek-V3-MoE,moe,262144,64,524.288,20.0076,342.608,65.3473,0.85541,Yes,1635328,Compute Pipeline Bound (Balanced Design),512x512,64,1200,4800
LLaMA-3-70B,dense,262144,64,524.288,41.4048,438.161,83.5725,0.808957,Yes,4326400,Compute Pipeline Bound (Balanced Design),512x512,64,1200,9600
DeepSeek-V3-MoE,moe,262144,64,524.288,19.4691,352.084,67.1546,0.85541,Yes,1635328,Compute Pipeline Bound (Balanced Design),512x512,64,1200,9600
LLaMA-3-70B,dense,262144,64,524.288,41.0511,441.935,84.2924,0.808957,Yes,4326400,Compute Pipeline Bound (Balanced Design),512x512,64,2400,2400
DeepSeek-V3-MoE,moe,262144,64,524.288,18.974,361.271,68.907,0.85541,Yes,1635328,Compute Pipeline Bound (Balanced Design),512x512,64,2400,2400
LLaMA-3-70B,dense,262144,64,524.288,40.546,447.441,85.3427,0.808957,Yes,4326400,Compute Pipeline Bound (Balanced Design),512x512,64,2400,4800
DeepSeek-V3-MoE,moe,262144,64,524.288,17.8971,383.009,73.0532,0.85541,Yes,1635328,Compute Pipeline Bound (Balanced Design),512x512,64,2400,4800
LLaMA-3-70B,dense,262144,64,524.288,40.2934,450.246,85.8777,0.808957,Yes,4326400,Compute Pipeline Bound (Balanced Design),512x512,64,2400,9600
DeepSeek-V3-MoE,moe,262144,64,524.288,17.3587,394.89,75.3193,0.85541,Yes,1635328,Compute Pipeline Bound (Balanced Design),512x512,64,2400,9600
LLaMA-3-70B,dense,262144,64,524.288,40.4954,448,85.4491,0.808957,Yes,4326400,Compute Pipeline Bound (Balanced Design),512x512,64,4800,2400
DeepSeek-V3-MoE,moe,262144,64,524.288,17.9188,382.546,72.9649,0.85541,Yes,1635328,Compute Pipeline Bound (Balanced Design),512x512,64,4800,2400
LLaMA-3-70B,dense,262144,64,524.288,39.9903,453.659,86.5286,0.808957,Yes,4326400,Compute Pipeline Bound (Balanced Design),512x512,64,4800,4800
DeepSeek-V3-MoE,moe,262144,64,524.288,16.8419,407.007,77.6304,0.85541,Yes,1635328,Compute Pipeline Bound (Balanced Design),512x512,64,4800,4800
LLaMA-3-70B,dense,262144,64,524.288,39.7377,456.542,87.0786,0.808957,Yes,4326400,Compute Pipeline Bound (Balanced Design),512x512,64,4800,9600
DeepSeek-V3-MoE,moe,262144,64,524.288,16.3034,420.449,80.1943,0.85541,Yes,1635328,Compute Pipeline Bound (Balanced Design),512x512,64,4800,9600
LLaMA-3-70B,dense,262144,128,524.288,42.0861,431.068,82.2196,0.797683,Yes,4326400,Compute Pipeline Bound (Balanced Design),512x512,128,1200,2400
DeepSeek-V3-MoE,moe,262144,128,524.288,21.008,326.293,62.2354,0.844136,Yes,1635328,Compute Pipeline Bound (Balanced Design),512x512,128,1200,2400
LLaMA-3-70B,dense,262144,128,524.288,41.5809,436.305,83.2185,0.797683,Yes,4326400,Compute Pipeline Bound (Balanced Design),512x512,128,1200,4800
DeepSeek-V3-MoE,moe,262144,128,524.288,19.9311,343.923,65.598,0.844136,Yes,1635328,Compute Pipeline Bound (Balanced Design),512x512,128,1200,4800
LLaMA-3-70B,dense,262144,128,524.288,41.3283,438.971,83.7272,0.797683,Yes,4326400,Compute Pipeline Bound (Balanced Design),512x512,128,1200,9600
DeepSeek-V3-MoE,moe,262144,128,524.288,19.3927,353.472,67.4194,0.844136,Yes,1635328,Compute Pipeline Bound (Balanced Design),512x512,128,1200,9600
LLaMA-3-70B,dense,262144,128,524.288,41.0129,442.347,84.371,0.797683,Yes,4326400,Compute Pipeline Bound (Balanced Design),512x512,128,2400,2400
DeepSeek-V3-MoE,moe,262144,128,524.288,18.9358,362,69.0461,0.844136,Yes,1635328,Compute Pipeline Bound (Balanced Design),512x512,128,2400,2400
LLaMA-3-70B,dense,262144,128,524.288,40.5077,447.864,85.4232,0.797683,Yes,4326400,Compute Pipeline Bound (Balanced Design),512x512,128,2400,4800
DeepSeek-V3-MoE,moe,262144,128,524.288,17.8589,383.829,73.2096,0.844136,Yes,1635328,Compute Pipeline Bound (Balanced Design),512x512,128,2400,4800
LLaMA-3-70B,dense,262144,128,524.288,40.2551,450.674,85.9592,0.797683,Yes,4326400,Compute Pipeline Bound (Balanced Design),512x512,128,2400,9600
DeepSeek-V3-MoE,moe,262144,128,524.288,17.3204,395.762,75.4855,0.844136,Yes,1635328,Compute Pipeline Bound (Balanced Design),512x512,128,2400,9600
LLaMA-3-70B,dense,262144,128,524.288,40.4763,448.211,85.4895,0.797683,Yes,4326400,Compute Pipeline Bound (Balanced Design),512x512,128,4800,2400
