model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,compute_time_ms,weight_stream_time_ms,noc_total_latency_ms,act_spill_time_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,bottleneck,grid_dim,sram_per_tile_kb,compression,hbm_bandwidth_gb_s
LLaMA-3-70B,dense,256,16.0,262.144,78.1741640347826,75.2239304347826,1.5837866666666667,2.0480213333333332,0.8546986666666667,232.07081370556094,88.52798984739721,0.8139768332288,True,Compute Pipeline Bound (Balanced Design),16x16,64,None,1200.0
DeepSeek-V3-MoE,moe,256,16.0,262.144,265.6987594202899,261.7878260869565,0.9813333333333333,3.1360213333333338,0.745472,237.622559431411,90.64581277138176,1.8337799077888002,True,Compute Pipeline Bound (Balanced Design),16x16,64,None,1200.0
LLaMA-3-70B,dense,256,16.0,262.144,77.72305790144928,75.2239304347826,0.7918933333333333,2.0480213333333332,0.42734933333333336,233.4177572028559,89.04180801500546,0.8139768332288,True,Compute Pipeline Bound (Balanced Design),16x16,64,None,2400.0
DeepSeek-V3-MoE,moe,256,16.0,262.144,265.31130342028985,261.7878260869565,0.49066666666666664,3.1360213333333338,0.372736,237.96957927263202,90.7781903353241,1.8337799077888002,True,Compute Pipeline Bound (Balanced Design),16x16,64,None,2400.0
LLaMA-3-70B,dense,256,16.0,262.144,77.4975048347826,75.2239304347826,0.39594666666666667,2.0480213333333332,0.21367466666666668,234.09710928088478,89.30096026645079,0.8139768332288,True,Compute Pipeline Bound (Balanced Design),16x16,64,None,4800.0
DeepSeek-V3-MoE,moe,256,16.0,262.144,265.1175754202899,261.7878260869565,0.24533333333333332,3.1360213333333338,0.186368,238.1434695572736,90.8445242146582,1.8337799077888002,True,Compute Pipeline Bound (Balanced Design),16x16,64,None,4800.0
LLaMA-3-70B,dense,256,16.0,262.144,76.71325736811595,75.2239304347826,1.5837866666666667,1.0240213333333334,0.417792,236.49030794309965,90.21389310573565,0.7491228270592001,True,Compute Pipeline Bound (Balanced Design),16x16,64,FP8,1200.0
DeepSeek-V3-MoE,moe,256,16.0,262.144,263.7484660869565,261.7878260869565,0.9813333333333333,1.5680213333333333,0.3631786666666667,239.3796642228978,91.31609505573188,1.7770326523904,True,Compute Pipeline Bound (Balanced Design),16x16,64,FP8,1200.0
LLaMA-3-70B,dense,256,16.0,262.144,76.48060456811594,75.2239304347826,0.7918933333333333,1.0240213333333334,0.208896,237.2097077520646,90.48832235415061,0.7491228270592001,True,Compute Pipeline Bound (Balanced Design),16x16,64,FP8,2400.0
DeepSeek-V3-MoE,moe,256,16.0,262.144,263.55215675362314,261.7878260869565,0.49066666666666664,1.5680213333333333,0.18158933333333335,239.5579684450146,91.38411271858773,1.7770326523904,True,Compute Pipeline Bound (Balanced Design),16x16,64,FP8,2400.0
LLaMA-3-70B,dense,256,16.0,262.144,76.36427816811594,75.2239304347826,0.39594666666666667,1.0240213333333334,0.104448,237.57105145896247,90.62616403921602,0.7491228270592001,True,Compute Pipeline Bound (Balanced Design),16x16,64,FP8,4800.0
DeepSeek-V3-MoE,moe,256,16.0,262.144,263.4540020869565,261.7878260869565,0.24533333333333332,1.5680213333333333,0.09079466666666668,239.6472202018822,91.41815956187523,1.7770326523904,True,Compute Pipeline Bound (Balanced Design),16x16,64,FP8,4800.0
LLaMA-3-70B,dense,256,16.0,262.144,75.9828040347826,75.2239304347826,1.5837866666666667,0.5120213333333333,0.19933866666666666,238.76378463210136,91.08115563663534,0.7166958239744,True,Compute Pipeline Bound (Balanced Design),16x16,64,INT4,1200.0
DeepSeek-V3-MoE,moe,256,16.0,262.144,262.77331942028985,261.7878260869565,0.9813333333333333,0.7840213333333333,0.172032,240.26799749109153,91.65496730464612,1.7486590246912002,True,Compute Pipeline Bound (Balanced Design),16x16,64,INT4,1200.0
LLaMA-3-70B,dense,256,16.0,262.144,75.85937790144928,75.2239304347826,0.7918933333333333,0.5120213333333333,0.09966933333333333,239.1522625175311,91.22934818936581,0.7166958239744,True,Compute Pipeline Bound (Balanced Design),16x16,64,INT4,2400.0
DeepSeek-V3-MoE,moe,256,16.0,262.144,262.6725834202898,261.7878260869565,0.49066666666666664,0.7840213333333333,0.086016,240.3601412416121,91.69011735596165,1.7486590246912002,True,Compute Pipeline Bound (Balanced Design),16x16,64,INT4,2400.0
LLaMA-3-70B,dense,256,16.0,262.144,75.79766483478261,75.2239304347826,0.39594666666666667,0.5120213333333333,0.049834666666666666,239.3469758975858,91.30362544921333,0.7166958239744,True,Compute Pipeline Bound (Balanced Design),16x16,64,INT4,4800.0
DeepSeek-V3-MoE,moe,256,16.0,262.144,262.6222154202898,261.7878260869565,0.24533333333333332,0.7840213333333333,0.043008,240.40623962508164,91.70770249369873,1.7486590246912002,True,Compute Pipeline Bound (Balanced Design),16x16,64,INT4,4800.0
LLaMA-3-70B,dense,256,32.0,262.144,78.20256296811594,75.2239304347826,1.5837866666666667,2.0480213333333332,0.835584,231.98653816116834,88.49584127852185,0.8111582609407999,True,Compute Pipeline Bound (Balanced Design),16x16,128,None,1200.0
DeepSeek-V3-MoE,moe,256,32.0,262.144,265.7090847536232,261.7878260869565,0.9813333333333333,3.1360213333333338,0.7263573333333334,237.61332552758745,90.64229031661509,1.8309613355008,True,Compute Pipeline Bound (Balanced Design),16x16,128,None,1200.0
LLaMA-3-70B,dense,256,32.0,262.144,77.73725736811595,75.2239304347826,0.7918933333333333,2.0480213333333332,0.417792,233.3751211776728,89.02554366213715,0.8111582609407999,True,Compute Pipeline Bound (Balanced Design),16x16,128,None,2400.0
DeepSeek-V3-MoE,moe,256,32.0,262.144,265.31646608695655,261.7878260869565,0.49066666666666664,3.1360213333333338,0.3631786666666667,237.96494873600267,90.77642392578227,1.8309613355008,True,Compute Pipeline Bound (Balanced Design),16x16,128,None,2400.0
LLaMA-3-70B,dense,256,32.0,262.144,77.50460456811594,75.2239304347826,0.39594666666666667,2.0480213333333332,0.208896,234.07566504464538,89.29277993951621,0.8111582609407999,True,Compute Pipeline Bound (Balanced Design),16x16,128,None,4800.0
DeepSeek-V3-MoE,moe,256,32.0,262.144,265.1201567536232,261.7878260869565,0.24533333333333332,3.1360213333333338,0.18158933333333335,238.14115088153204,90.84363971005708,1.8309613355008,True,Compute Pipeline Bound (Balanced Design),16x16,128,None,4800.0
LLaMA-3-70B,dense,256,32.0,262.144,76.74165630144928,75.2239304347826,1.5837866666666667,1.0240213333333334,0.39867733333333333,236.40279259859267,90.18050865119655,0.7463042547712,True,Compute Pipeline Bound (Balanced Design),16x16,128,FP8,1200.0
DeepSeek-V3-MoE,moe,256,32.0,262.144,263.7587914202898,261.7878260869565,0.9813333333333333,1.5680213333333333,0.344064,239.37029325629229,91.31252031566326,1.7742140801024,True,Compute Pipeline Bound (Balanced Design),16x16,128,FP8,1200.0
LLaMA-3-70B,dense,256,32.0,262.144,76.4948040347826,75.2239304347826,0.7918933333333333,1.0240213333333334,0.19933866666666666,237.16567533207558,90.47152531893752,0.7463042547712,True,Compute Pipeline Bound (Balanced Design),16x16,128,FP8,2400.0
DeepSeek-V3-MoE,moe,256,32.0,262.144,263.55731942028984,261.7878260869565,0.49066666666666664,1.5680213333333333,0.172032,239.5532758872774,91.38232264987084,1.7742140801024,True,Compute Pipeline Bound (Balanced Design),16x16,128,FP8,2400.0
LLaMA-3-70B,dense,256,32.0,262.144,76.37137790144928,75.2239304347826,0.39594666666666667,1.0240213333333334,0.09966933333333333,237.54896607619963,90.61773913429246,0.7463042547712,True,Compute Pipeline Bound (Balanced Design),16x16,128,FP8,4800.0
DeepSeek-V3-MoE,moe,256,32.0,262.144,263.4565834202898,261.7878260869565,0.24533333333333332,1.5680213333333333,0.086016,239.64487215139997,91.41726385169981,1.7742140801024,True,Compute Pipeline Bound (Balanced Design),16x16,128,FP8,4800.0
LLaMA-3-70B,dense,256,32.0,262.144,76.01120296811594,75.2239304347826,1.5837866666666667,0.5120213333333333,0.180224,238.67457887640475,91.04712634140196,0.7138772516864,True,Compute Pipeline Bound (Balanced Design),16x16,128,INT4,1200.0
DeepSeek-V3-MoE,moe,256,32.0,262.144,262.78364475362315,261.7878260869565,0.9813333333333333,0.7840213333333333,0.15291733333333332,240.25855684585753,91.65136598429014,1.7458404524032,True,Compute Pipeline Bound (Balanced Design),16x16,128,INT4,1200.0
LLaMA-3-70B,dense,256,32.0,262.144,75.87357736811595,75.2239304347826,0.7918933333333333,0.5120213333333333,0.090112,239.1075060331571,91.21227494550976,0.7138772516864,True,Compute Pipeline Bound (Balanced Design),16x16,128,INT4,2400.0
DeepSeek-V3-MoE,moe,256,32.0,262.144,262.6777460869565,261.7878260869565,0.49066666666666664,0.7840213333333333,0.07645866666666666,240.3554172050019,91.68831527900768,1.7458404524032,True,Compute Pipeline Bound (Balanced Design),16x16,128,INT4,2400.0
LLaMA-3-70B,dense,256,32.0,262.144,75.80476456811594,75.2239304347826,0.39594666666666667,0.5120213333333333,0.045056,239.32455910475363,91.29507412138123,0.7138772516864,True,Compute Pipeline Bound (Balanced Design),16x16,128,INT4,4800.0
DeepSeek-V3-MoE,moe,256,32.0,262.144,262.6247967536232,261.7878260869565,0.24533333333333332,0.7840213333333333,0.03822933333333333,240.4038766774561,91.70680110071416,1.7458404524032,True,Compute Pipeline Bound (Balanced Design),16x16,128,INT4,4800.0
LLaMA-3-70B,dense,256,64.0,262.144,78.1168200347826,75.2239304347826,1.5837866666666667,2.0480213333333332,0.7973546666666667,232.24117226259395,88.59297647956618,0.8055211163648,True,Compute Pipeline Bound (Balanced Design),16x16,256,None,1200.0
DeepSeek-V3-MoE,moe,256,64.0,262.144,265.6414154202899,261.7878260869565,0.9813333333333333,3.1360213333333338,0.688128,237.67385500227093,90.66538047877157,1.8253241909248001,True,Compute Pipeline Bound (Balanced Design),16x16,256,None,1200.0
LLaMA-3-70B,dense,256,64.0,262.144,77.69438590144928,75.2239304347826,0.7918933333333333,2.0480213333333332,0.39867733333333333,233.50389668200705,89.07466761856348,0.8055211163648,True,Compute Pipeline Bound (Balanced Design),16x16,256,None,2400.0
DeepSeek-V3-MoE,moe,256,64.0,262.144,265.2826314202899,261.7878260869565,0.49066666666666664,3.1360213333333338,0.344064,237.99529925188727,90.7880017287778,1.8253241909248001,True,Compute Pipeline Bound (Balanced Design),16x16,256,None,2400.0
LLaMA-3-70B,dense,256,64.0,262.144,77.4831688347826,75.2239304347826,0.39594666666666667,2.0480213333333332,0.19933866666666666,234.14042212171353,89.31748280399839,0.8055211163648,True,Compute Pipeline Bound (Balanced Design),16x16,256,None,4800.0
DeepSeek-V3-MoE,moe,256,64.0,262.144,265.10323942028987,261.7878260869565,0.24533333333333332,3.1360213333333338,0.172032,238.15634765256604,90.84943681814805,1.8253241909248001,True,Compute Pipeline Bound (Balanced Design),16x16,256,None,4800.0
LLaMA-3-70B,dense,256,64.0,262.144,76.65591336811595,75.2239304347826,1.5837866666666667,1.0240213333333334,0.360448,236.6672192813491,90.28137942556347,0.7406671101952,True,Compute Pipeline Bound (Balanced Design),16x16,256,FP8,1200.0
DeepSeek-V3-MoE,moe,256,64.0,262.144,263.6911220869565,261.7878260869565,0.9813333333333333,1.5680213333333333,0.30583466666666664,239.43172129390027,91.33595325237283,1.7685769355264,True,Compute Pipeline Bound (Balanced Design),16x16,256,FP8,1200.0
LLaMA-3-70B,dense,256,64.0,262.144,76.45193256811594,75.2239304347826,0.7918933333333333,1.0240213333333334,0.180224,237.29866922775534,90.52225846395696,0.7406671101952,True,Compute Pipeline Bound (Balanced Design),16x16,256,FP8,2400.0
DeepSeek-V3-MoE,moe,256,64.0,262.144,263.52348475362317,261.7878260869565,0.49066666666666664,1.5680213333333333,0.15291733333333332,239.5840329381951,91.39405553367428,1.7685769355264,True,Compute Pipeline Bound (Balanced Design),16x16,256,FP8,2400.0
LLaMA-3-70B,dense,256,64.0,262.144,76.34994216811594,75.2239304347826,0.39594666666666667,1.0240213333333334,0.090112,237.61565946385417,90.64318064264457,0.7406671101952,True,Compute Pipeline Bound (Balanced Design),16x16,256,FP8,4800.0
DeepSeek-V3-MoE,moe,256,64.0,262.144,263.4396660869565,261.7878260869565,0.24533333333333332,1.5680213333333333,0.07645866666666666,239.6602614518953,91.42313440395175,1.7685769355264,True,Compute Pipeline Bound (Balanced Design),16x16,256,FP8,4800.0
LLaMA-3-70B,dense,256,64.0,262.144,75.9254600347826,75.2239304347826,1.5837866666666667,0.5120213333333333,0.14199466666666666,238.94411505696374,91.14994623449849,0.7082401071104001,True,Compute Pipeline Bound (Balanced Design),16x16,256,INT4,1200.0
DeepSeek-V3-MoE,moe,256,64.0,262.144,262.71597542028985,261.7878260869565,0.9813333333333333,0.7840213333333333,0.114688,240.32044168686642,91.67497317766815,1.7402033078272001,True,Compute Pipeline Bound (Balanced Design),16x16,256,INT4,1200.0
LLaMA-3-70B,dense,256,64.0,262.144,75.83070590144928,75.2239304347826,0.7918933333333333,0.5120213333333333,0.07099733333333333,239.24268728134402,91.263842499292,0.7082401071104001,True,Compute Pipeline Bound (Balanced Design),16x16,256,INT4,2400.0
DeepSeek-V3-MoE,moe,256,64.0,262.144,262.64391142028984,261.7878260869565,0.49066666666666664,0.7840213333333333,0.057344,240.38638059333513,91.70012687428861,1.7402033078272001,True,Compute Pipeline Bound (Balanced Design),16x16,256,INT4,2400.0
LLaMA-3-70B,dense,256,64.0,262.144,75.78332883478261,75.2239304347826,0.39594666666666667,0.5120213333333333,0.035498666666666664,239.39225337878415,91.3208974375855,0.7082401071104001,True,Compute Pipeline Bound (Balanced Design),16x16,256,INT4,4800.0
DeepSeek-V3-MoE,moe,256,64.0,262.144,262.6078794202898,261.7878260869565,0.24533333333333332,0.7840213333333333,0.028672,240.41936361762473,91.71270889954556,1.7402033078272001,True,Compute Pipeline Bound (Balanced Design),16x16,256,INT4,4800.0
LLaMA-3-70B,dense,1024,64.0,1048.576,21.698893542028983,18.80598260869565,1.5837866666666667,2.048042666666667,0.7973546666666667,836.0768176112085,79.73449874984823,0.8055211163648,True,Compute Pipeline Bound (Balanced Design),32x32,64,None,1200.0
DeepSeek-V3-MoE,moe,1024,64.0,1048.576,67.95656718840578,65.44695652173912,0.9813333333333333,1.7920426666666667,0.688128,929.0642812512721,88.60247433197709,1.8253241909248001,True,Compute Pipeline Bound (Balanced Design),32x32,64,None,1200.0
LLaMA-3-70B,dense,1024,64.0,1048.576,21.27645940869565,18.80598260869565,0.7918933333333333,2.048042666666667,0.39867733333333333,852.676731114831,81.31758986614523,0.8055211163648,True,Compute Pipeline Bound (Balanced Design),32x32,64,None,2400.0
DeepSeek-V3-MoE,moe,1024,64.0,1048.576,67.59778318840578,65.44695652173912,0.49066666666666664,1.7920426666666667,0.344064,933.9954104002177,89.07274345400025,1.8253241909248001,True,Compute Pipeline Bound (Balanced Design),32x32,64,None,2400.0
LLaMA-3-70B,dense,1024,64.0,1048.576,21.065242342028984,18.80598260869565,0.39594666666666667,2.048042666666667,0.19933866666666666,861.2263539977192,82.1329454419822,0.8055211163648,True,Compute Pipeline Bound (Balanced Design),32x32,64,None,4800.0
DeepSeek-V3-MoE,moe,1024,64.0,1048.576,67.41839118840579,65.44695652173912,0.24533333333333332,1.7920426666666667,0.172032,936.4806566617946,89.3097550069613,1.8253241909248001,True,Compute Pipeline Bound (Balanced Design),32x32,64,None,4800.0
LLaMA-3-70B,dense,1024,64.0,1048.576,20.237986875362317,18.80598260869565,1.5837866666666667,1.0240426666666667,0.360448,896.4301622504736,85.49024221901641,0.7406671101952,True,Compute Pipeline Bound (Balanced Design),32x32,64,FP8,1200.0
DeepSeek-V3-MoE,moe,1024,64.0,1048.576,66.67827385507246,65.44695652173912,0.9813333333333333,0.8960426666666667,0.30583466666666664,946.8754303452473,90.30107787563774,1.7685769355264,True,Compute Pipeline Bound (Balanced Design),32x32,64,FP8,1200.0
LLaMA-3-70B,dense,1024,64.0,1048.576,20.034006075362317,18.80598260869565,0.7918933333333333,1.0240426666666667,0.180224,905.5573703062231,86.36068060934286,0.7406671101952,True,Compute Pipeline Bound (Balanced Design),32x32,64,FP8,2400.0
DeepSeek-V3-MoE,moe,1024,64.0,1048.576,66.51063652173913,65.44695652173912,0.49066666666666664,0.8960426666666667,0.15291733333333332,949.261991058586,90.52867804132327,1.7685769355264,True,Compute Pipeline Bound (Balanced Design),32x32,64,FP8,2400.0
LLaMA-3-70B,dense,1024,64.0,1048.576,19.93201567536232,18.80598260869565,0.39594666666666667,1.0240426666666667,0.090112,910.1910290352116,86.80258074142566,0.7406671101952,True,Compute Pipeline Bound (Balanced Design),32x32,64,FP8,4800.0
DeepSeek-V3-MoE,moe,1024,64.0,1048.576,66.42681785507247,65.44695652173912,0.24533333333333332,0.8960426666666667,0.07645866666666666,950.459788529202,90.64290890972157,1.7685769355264,True,Compute Pipeline Bound (Balanced Design),32x32,64,FP8,4800.0
LLaMA-3-70B,dense,1024,64.0,1048.576,19.50753354202898,18.80598260869565,1.5837866666666667,0.5120426666666666,0.14199466666666666,929.9967020032125,88.69139690429806,0.7082401071104001,True,Compute Pipeline Bound (Balanced Design),32x32,64,INT4,1200.0
DeepSeek-V3-MoE,moe,1024,64.0,1048.576,66.03912718840579,65.44695652173912,0.9813333333333333,0.4480426666666667,0.114688,956.0395774322791,91.17503904650489,1.7402033078272001,True,Compute Pipeline Bound (Balanced Design),32x32,64,INT4,1200.0
