model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,pipeline_stalls,bottleneck,grid_dim,sram_per_tile_kb,compression,hbm_bandwidth_gb_s
LLaMA-3-70B,dense,256,16,262.144,73.2376,247.714,94.4952,0.813977,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,64,None,1200
DeepSeek-V3-MoE,moe,256,16,262.144,30.4684,224.98,85.823,0.426749,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,64,None,1200
LLaMA-3-70B,dense,256,16,262.144,72.7865,249.249,95.0809,0.813977,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,64,None,2400
DeepSeek-V3-MoE,moe,256,16,262.144,30.0809,227.878,86.9284,0.426749,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,64,None,2400
LLaMA-3-70B,dense,256,16,262.144,72.5609,250.024,95.3764,0.813977,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,64,None,4800
DeepSeek-V3-MoE,moe,256,16,262.144,29.8872,229.355,87.4919,0.426749,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,64,None,4800
LLaMA-3-70B,dense,256,16,262.144,71.7767,252.755,96.4185,0.749123,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,64,FP8,1200
DeepSeek-V3-MoE,moe,256,16,262.144,28.5181,240.366,91.6922,0.370001,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,64,FP8,1200
LLaMA-3-70B,dense,256,16,262.144,71.544,253.577,96.7321,0.749123,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,64,FP8,2400
DeepSeek-V3-MoE,moe,256,16,262.144,28.3218,242.032,92.3278,0.370001,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,64,FP8,2400
LLaMA-3-70B,dense,256,16,262.144,71.4277,253.99,96.8896,0.749123,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,64,FP8,4800
DeepSeek-V3-MoE,moe,256,16,262.144,28.2236,242.873,92.6489,0.370001,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,64,FP8,4800
LLaMA-3-70B,dense,256,16,262.144,71.0462,255.354,97.4098,0.716696,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,64,INT4,1200
DeepSeek-V3-MoE,moe,256,16,262.144,27.5429,248.876,94.9386,0.341628,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,64,INT4,1200
LLaMA-3-70B,dense,256,16,262.144,70.9228,255.798,97.5794,0.716696,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,64,INT4,2400
DeepSeek-V3-MoE,moe,256,16,262.144,27.4422,249.789,95.2871,0.341628,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,64,INT4,2400
LLaMA-3-70B,dense,256,16,262.144,70.8611,256.021,97.6643,0.716696,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,64,INT4,4800
DeepSeek-V3-MoE,moe,256,16,262.144,27.3918,250.249,95.4623,0.341628,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,64,INT4,4800
LLaMA-3-70B,dense,256,32,262.144,73.266,247.618,94.4586,0.811158,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,128,None,1200
DeepSeek-V3-MoE,moe,256,32,262.144,30.4787,224.904,85.7939,0.42393,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,128,None,1200
LLaMA-3-70B,dense,256,32,262.144,72.8007,249.2,95.0623,0.811158,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,128,None,2400
DeepSeek-V3-MoE,moe,256,32,262.144,30.0861,227.839,86.9135,0.42393,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,128,None,2400
LLaMA-3-70B,dense,256,32,262.144,72.568,249.999,95.3671,0.811158,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,128,None,4800
DeepSeek-V3-MoE,moe,256,32,262.144,29.8898,229.335,87.4843,0.42393,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,128,None,4800
LLaMA-3-70B,dense,256,32,262.144,71.8051,252.655,96.3804,0.746304,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,128,FP8,1200
DeepSeek-V3-MoE,moe,256,32,262.144,28.5284,240.279,91.659,0.367183,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,128,FP8,1200
LLaMA-3-70B,dense,256,32,262.144,71.5582,253.527,96.7129,0.746304,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,128,FP8,2400
DeepSeek-V3-MoE,moe,256,32,262.144,28.3269,241.988,92.311,0.367183,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,128,FP8,2400
LLaMA-3-70B,dense,256,32,262.144,71.4348,253.965,96.88,0.746304,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,128,FP8,4800
DeepSeek-V3-MoE,moe,256,32,262.144,28.2262,242.851,92.6404,0.367183,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,128,FP8,4800
LLaMA-3-70B,dense,256,32,262.144,71.0746,255.252,97.3709,0.713877,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,128,INT4,1200
DeepSeek-V3-MoE,moe,256,32,262.144,27.5533,248.782,94.903,0.338809,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,128,INT4,1200
LLaMA-3-70B,dense,256,32,262.144,70.937,255.747,97.5598,0.713877,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,128,INT4,2400
DeepSeek-V3-MoE,moe,256,32,262.144,27.4474,249.742,95.2691,0.338809,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,128,INT4,2400
LLaMA-3-70B,dense,256,32,262.144,70.8682,255.996,97.6546,0.713877,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,128,INT4,4800
DeepSeek-V3-MoE,moe,256,32,262.144,27.3944,250.225,95.4533,0.338809,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,128,INT4,4800
LLaMA-3-70B,dense,256,64,262.144,73.1802,247.908,94.5693,0.805521,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,256,None,1200
DeepSeek-V3-MoE,moe,256,64,262.144,30.411,225.404,85.9848,0.418293,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,256,None,1200
LLaMA-3-70B,dense,256,64,262.144,72.7578,249.347,95.1183,0.805521,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,256,None,2400
DeepSeek-V3-MoE,moe,256,64,262.144,30.0522,228.095,87.0114,0.418293,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,256,None,2400
LLaMA-3-70B,dense,256,64,262.144,72.5466,250.073,95.3953,0.805521,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,256,None,4800
DeepSeek-V3-MoE,moe,256,64,262.144,29.8729,229.465,87.5339,0.418293,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,256,None,4800
LLaMA-3-70B,dense,256,64,262.144,71.7193,252.957,96.4956,0.740667,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,256,FP8,1200
DeepSeek-V3-MoE,moe,256,64,262.144,28.4607,240.85,91.877,0.361546,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,256,FP8,1200
